other_id,recipient_name,incumbent,recipient_party,recipient_type,recipient_state,date,amount
C00540302,TIM SCOTT FOR SENATE,TRUE,REP,candidate,SC,9/13/13,5000
C00397737,FRIENDS OF DAVE REICHERT,TRUE,REP,candidate,WA,9/17/13,5000
C00463620,RIBBLE FOR CONGRESS,TRUE,REP,candidate,WI,9/24/13,5000
C00459354,BOBBY SCHILLING FOR CONGRESS,TRUE,REP,candidate,IL,9/27/13,5000
C00501643,DAVID ROUZER FOR CONGRESS,,REP,candidate,NC,9/27/13,5000
C00465971,DOLD FOR CONGRESS,,REP,candidate,IL,9/27/13,5000
C00505776,FRIENDS OF MIA LOVE,,REP,candidate,UT,9/27/13,5000
C00545673,BYRNE FOR CONGRESS INC,,REP,candidate,AL,10/15/13,5000
C00545673,BYRNE FOR CONGRESS INC,,REP,candidate,AL,10/15/13,5000
C00512855,FUND FOR AMERICAN EXCEPTIONALISM: THE,,REP,pac,,10/16/13,5000
C00476192,"HOOSIERS FOR ROKITA, INC.",TRUE,REP,candidate,IN,10/16/13,5000
C00459297,HUIZENGA FOR CONGRESS,TRUE,REP,candidate,MI,10/16/13,5000
C00310136,FRIENDS OF JOE PITTS,TRUE,REP,candidate,PA,10/18/13,5000
C00506931,"FRIENDS FOR CHRIS STEWART, INC.",TRUE,REP,candidate,UT,10/25/13,5000
C00444224,LANCE FOR CONGRESS,TRUE,REP,candidate,NJ,10/25/13,5000
C00376087,MARIO DIAZ-BALART FOR CONGRESS,TRUE,REP,candidate,FL,10/25/13,5000
C00512236,MCSALLY FOR CONGRESS,,REP,candidate,AZ,10/28/13,5000
C00433524,DUNCAN D. HUNTER FOR CONGRESS,TRUE,REP,candidate,CA,11/5/13,5000
C00350520,ISSA FOR CONGRESS,TRUE,REP,candidate,CA,11/5/13,5000
C00468405,ROBERT HURT FOR CONGRESS,TRUE,REP,candidate,VA,11/5/13,5000
C00545673,BYRNE FOR CONGRESS INC,,REP,candidate,AL,11/8/13,5000
C00518241,FRIENDS OF CONGRESSMAN STEVE STOCKMAN,TRUE,REP,candidate,TX,11/8/13,5000
C00461350,FRIENDS OF FRANK GUINTA,,REP,candidate,NH,11/8/13,5000
C00477323,PALAZZO FOR CONGRESS,TRUE,REP,candidate,MS,11/8/13,5000
C00468116,RE-ELECT TIM GRIFFIN FOR CONGRESS COMMITTEE,TRUE,REP,candidate,AR,11/8/13,5000
C00394957,SCALISE FOR CONGRESS,TRUE,REP,candidate,LA,11/8/13,5000
C00394957,SCALISE FOR CONGRESS,TRUE,REP,candidate,LA,11/8/13,5000
C00431684,FRIENDS OF JASON CHAFFETZ,TRUE,REP,candidate,UT,11/12/13,5000
C00395467,JEFF FORTENBERRY FOR UNITED STATES CONGRESS,TRUE,REP,candidate,NE,11/12/13,5000
C00502039,COLLINS FOR CONGRESS,TRUE,REP,candidate,GA,11/15/13,5000
